DX,Description,CMS-HCC PACE/ESRD Model Category V21,CMSHCC,"RxHCC 
Model Category V05 ","CMS-HCC 
PACE/ESRD Model 
for 2017 
Payment Year","CMS-HCC Model 
for 2017 
Payment Year","RxHCC Model 
for 2017 
Payment Year"
S98911D,"Complete traumatic amputation of right foot, level unspecified, subsequent encounter",189,189,,Yes,Yes,No
S98911S,"Complete traumatic amputation of right foot, level unspecified, sequela",189,189,,Yes,Yes,No
S98912A,"Complete traumatic amputation of left foot, level unspecified, initial encounter",173,173,,Yes,Yes,No
S98912D,"Complete traumatic amputation of left foot, level unspecified, subsequent encounter",189,189,,Yes,Yes,No
S98912S,"Complete traumatic amputation of left foot, level unspecified, sequela",189,189,,Yes,Yes,No
S98919A,"Complete traumatic amputation of unspecified foot, level unspecified, initial encounter",173,173,,Yes,Yes,No
S98919D,"Complete traumatic amputation of unspecified foot, level unspecified, subsequent encounter",189,189,,Yes,Yes,No
S98919S,"Complete traumatic amputation of unspecified foot, level unspecified, sequela",189,189,,Yes,Yes,No
S98921A,"Partial traumatic amputation of right foot, level unspecified, initial encounter",173,173,,Yes,Yes,No
S98921D,"Partial traumatic amputation of right foot, level unspecified, subsequent encounter",189,189,,Yes,Yes,No
S98921S,"Partial traumatic amputation of right foot, level unspecified, sequela",189,189,,Yes,Yes,No
S98922A,"Partial traumatic amputation of left foot, level unspecified, initial encounter",173,173,,Yes,Yes,No
S98922D,"Partial traumatic amputation of left foot, level unspecified, subsequent encounter",189,189,,Yes,Yes,No
S98922S,"Partial traumatic amputation of left foot, level unspecified, sequela",189,189,,Yes,Yes,No
S98929A,"Partial traumatic amputation of unspecified foot, level unspecified, initial encounter",173,173,,Yes,Yes,No
S98929D,"Partial traumatic amputation of unspecified foot, level unspecified, subsequent encounter",189,189,,Yes,Yes,No
S98929S,"Partial traumatic amputation of unspecified foot, level unspecified, sequela",189,189,,Yes,Yes,No
T1491,Suicide attempt,58,58,,Yes,Yes,No
T3111,Burns involving 10-19% of body surface with 10-19% third degree burns,162,162,,Yes,Yes,No
T3121,Burns involving 20-29% of body surface with 10-19% third degree burns,162,162,,Yes,Yes,No
T3122,Burns involving 20-29% of body surface with 20-29% third degree burns,162,162,,Yes,Yes,No
T3131,Burns involving 30-39% of body surface with 10-19% third degree burns,162,162,,Yes,Yes,No
T3132,Burns involving 30-39% of body surface with 20-29% third degree burns,162,162,,Yes,Yes,No
T3133,Burns involving 30-39% of body surface with 30-39% third degree burns,162,162,,Yes,Yes,No
T3141,Burns involving 40-49% of body surface with 10-19% third degree burns,162,162,,Yes,Yes,No
T3142,Burns involving 40-49% of body surface with 20-29% third degree burns,162,162,,Yes,Yes,No
T3143,Burns involving 40-49% of body surface with 30-39% third degree burns,162,162,,Yes,Yes,No
T3144,Burns involving 40-49% of body surface with 40-49% third degree burns,162,162,,Yes,Yes,No
T3151,Burns involving 50-59% of body surface with 10-19% third degree burns,162,162,,Yes,Yes,No
T3152,Burns involving 50-59% of body surface with 20-29% third degree burns,162,162,,Yes,Yes,No
T3153,Burns involving 50-59% of body surface with 30-39% third degree burns,162,162,,Yes,Yes,No
T3154,Burns involving 50-59% of body surface with 40-49% third degree burns,162,162,,Yes,Yes,No
T3155,Burns involving 50-59% of body surface with 50-59% third degree burns,162,162,,Yes,Yes,No
T3161,Burns involving 60-69% of body surface with 10-19% third degree burns,162,162,,Yes,Yes,No
T3162,Burns involving 60-69% of body surface with 20-29% third degree burns,162,162,,Yes,Yes,No
T3163,Burns involving 60-69% of body surface with 30-39% third degree burns,162,162,,Yes,Yes,No
T3164,Burns involving 60-69% of body surface with 40-49% third degree burns,162,162,,Yes,Yes,No
T3165,Burns involving 60-69% of body surface with 50-59% third degree burns,162,162,,Yes,Yes,No
T3166,Burns involving 60-69% of body surface with 60-69% third degree burns,162,162,,Yes,Yes,No
T3171,Burns involving 70-79% of body surface with 10-19% third degree burns,162,162,,Yes,Yes,No
T3172,Burns involving 70-79% of body surface with 20-29% third degree burns,162,162,,Yes,Yes,No
T3173,Burns involving 70-79% of body surface with 30-39% third degree burns,162,162,,Yes,Yes,No
T3174,Burns involving 70-79% of body surface with 40-49% third degree burns,162,162,,Yes,Yes,No
T3175,Burns involving 70-79% of body surface with 50-59% third degree burns,162,162,,Yes,Yes,No
T3176,Burns involving 70-79% of body surface with 60-69% third degree burns,162,162,,Yes,Yes,No
T3177,Burns involving 70-79% of body surface with 70-79% third degree burns,162,162,,Yes,Yes,No
T3181,Burns involving 80-89% of body surface with 10-19% third degree burns,162,162,,Yes,Yes,No
T3182,Burns involving 80-89% of body surface with 20-29% third degree burns,162,162,,Yes,Yes,No
T3183,Burns involving 80-89% of body surface with 30-39% third degree burns,162,162,,Yes,Yes,No
T3184,Burns involving 80-89% of body surface with 40-49% third degree burns,162,162,,Yes,Yes,No
T3185,Burns involving 80-89% of body surface with 50-59% third degree burns,162,162,,Yes,Yes,No
T3186,Burns involving 80-89% of body surface with 60-69% third degree burns,162,162,,Yes,Yes,No
T3187,Burns involving 80-89% of body surface with 70-79% third degree burns,162,162,,Yes,Yes,No
T3188,Burns involving 80-89% of body surface with 80-89% third degree burns,162,162,,Yes,Yes,No
T3191,Burns involving 90% or more of body surface with 10-19% third degree burns,162,162,,Yes,Yes,No
T3192,Burns involving 90% or more of body surface with 20-29% third degree burns,162,162,,Yes,Yes,No
T3193,Burns involving 90% or more of body surface with 30-39% third degree burns,162,162,,Yes,Yes,No
T3194,Burns involving 90% or more of body surface with 40-49% third degree burns,162,162,,Yes,Yes,No
T3195,Burns involving 90% or more of body surface with 50-59% third degree burns,162,162,,Yes,Yes,No
T3196,Burns involving 90% or more of body surface with 60-69% third degree burns,162,162,,Yes,Yes,No
T3197,Burns involving 90% or more of body surface with 70-79% third degree burns,162,162,,Yes,Yes,No
T3198,Burns involving 90% or more of body surface with 80-89% third degree burns,162,162,,Yes,Yes,No
T3199,Burns involving 90% or more of body surface with 90% or more third degree burns,162,162,,Yes,Yes,No
T3211,Corrosions involving 10-19% of body surface with 10-19% third degree corrosion,162,162,,Yes,Yes,No
T3221,Corrosions involving 20-29% of body surface with 10-19% third degree corrosion,162,162,,Yes,Yes,No
T3222,Corrosions involving 20-29% of body surface with 20-29% third degree corrosion,162,162,,Yes,Yes,No
T3231,Corrosions involving 30-39% of body surface with 10-19% third degree corrosion,162,162,,Yes,Yes,No
T3232,Corrosions involving 30-39% of body surface with 20-29% third degree corrosion,162,162,,Yes,Yes,No
T3233,Corrosions involving 30-39% of body surface with 30-39% third degree corrosion,162,162,,Yes,Yes,No
T3241,Corrosions involving 40-49% of body surface with 10-19% third degree corrosion,162,162,,Yes,Yes,No
T3242,Corrosions involving 40-49% of body surface with 20-29% third degree corrosion,162,162,,Yes,Yes,No
T3243,Corrosions involving 40-49% of body surface with 30-39% third degree corrosion,162,162,,Yes,Yes,No
T3244,Corrosions involving 40-49% of body surface with 40-49% third degree corrosion,162,162,,Yes,Yes,No
T3251,Corrosions involving 50-59% of body surface with 10-19% third degree corrosion,162,162,,Yes,Yes,No
T3252,Corrosions involving 50-59% of body surface with 20-29% third degree corrosion,162,162,,Yes,Yes,No
T3253,Corrosions involving 50-59% of body surface with 30-39% third degree corrosion,162,162,,Yes,Yes,No
T3254,Corrosions involving 50-59% of body surface with 40-49% third degree corrosion,162,162,,Yes,Yes,No
T3255,Corrosions involving 50-59% of body surface with 50-59% third degree corrosion,162,162,,Yes,Yes,No
T3261,Corrosions involving 60-69% of body surface with 10-19% third degree corrosion,162,162,,Yes,Yes,No
T3262,Corrosions involving 60-69% of body surface with 20-29% third degree corrosion,162,162,,Yes,Yes,No
T3263,Corrosions involving 60-69% of body surface with 30-39% third degree corrosion,162,162,,Yes,Yes,No
T3264,Corrosions involving 60-69% of body surface with 40-49% third degree corrosion,162,162,,Yes,Yes,No
T3265,Corrosions involving 60-69% of body surface with 50-59% third degree corrosion,162,162,,Yes,Yes,No
T3266,Corrosions involving 60-69% of body surface with 60-69% third degree corrosion,162,162,,Yes,Yes,No
T3271,Corrosions involving 70-79% of body surface with 10-19% third degree corrosion,162,162,,Yes,Yes,No
T3272,Corrosions involving 70-79% of body surface with 20-29% third degree corrosion,162,162,,Yes,Yes,No
T3273,Corrosions involving 70-79% of body surface with 30-39% third degree corrosion,162,162,,Yes,Yes,No
T3274,Corrosions involving 70-79% of body surface with 40-49% third degree corrosion,162,162,,Yes,Yes,No
T3275,Corrosions involving 70-79% of body surface with 50-59% third degree corrosion,162,162,,Yes,Yes,No
T3276,Corrosions involving 70-79% of body surface with 60-69% third degree corrosion,162,162,,Yes,Yes,No
T3277,Corrosions involving 70-79% of body surface with 70-79% third degree corrosion,162,162,,Yes,Yes,No
T3281,Corrosions involving 80-89% of body surface with 10-19% third degree corrosion,162,162,,Yes,Yes,No
T3282,Corrosions involving 80-89% of body surface with 20-29% third degree corrosion,162,162,,Yes,Yes,No
T3283,Corrosions involving 80-89% of body surface with 30-39% third degree corrosion,162,162,,Yes,Yes,No
T3284,Corrosions involving 80-89% of body surface with 40-49% third degree corrosion,162,162,,Yes,Yes,No
T3285,Corrosions involving 80-89% of body surface with 50-59% third degree corrosion,162,162,,Yes,Yes,No
T3286,Corrosions involving 80-89% of body surface with 60-69% third degree corrosion,162,162,,Yes,Yes,No
T3287,Corrosions involving 80-89% of body surface with 70-79% third degree corrosion,162,162,,Yes,Yes,No
T3288,Corrosions involving 80-89% of body surface with 80-89% third degree corrosion,162,162,,Yes,Yes,No
T3291,Corrosions involving 90% or more of body surface with 10-19% third degree corrosion,162,162,,Yes,Yes,No
T3292,Corrosions involving 90% or more of body surface with 20-29% third degree corrosion,162,162,,Yes,Yes,No
T3293,Corrosions involving 90% or more of body surface with 30-39% third degree corrosion,162,162,,Yes,Yes,No
T3294,Corrosions involving 90% or more of body surface with 40-49% third degree corrosion,162,162,,Yes,Yes,No
T3295,Corrosions involving 90% or more of body surface with 50-59% third degree corrosion,162,162,,Yes,Yes,No
T3296,Corrosions involving 90% or more of body surface with 60-69% third degree corrosion,162,162,,Yes,Yes,No
T3297,Corrosions involving 90% or more of body surface with 70-79% third degree corrosion,162,162,,Yes,Yes,No
T3298,Corrosions involving 90% or more of body surface with 80-89% third degree corrosion,162,162,,Yes,Yes,No
T3299,Corrosions involving 90% or more of body surface with 90% or more third degree corrosion,162,162,,Yes,Yes,No
T360X2A,"Poisoning by penicillins, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T360X2S,"Poisoning by penicillins, intentional self-harm, sequela",58,58,,Yes,Yes,No
T361X2A,"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T361X2S,"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T362X2A,"Poisoning by chloramphenicol group, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T362X2S,"Poisoning by chloramphenicol group, intentional self-harm, sequela",58,58,,Yes,Yes,No
T363X2A,"Poisoning by macrolides, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T363X2S,"Poisoning by macrolides, intentional self-harm, sequela",58,58,,Yes,Yes,No
T364X2A,"Poisoning by tetracyclines, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T364X2S,"Poisoning by tetracyclines, intentional self-harm, sequela",58,58,,Yes,Yes,No
T365X2A,"Poisoning by aminoglycosides, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T365X2S,"Poisoning by aminoglycosides, intentional self-harm, sequela",58,58,,Yes,Yes,No
T366X2A,"Poisoning by rifampicins, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T366X2S,"Poisoning by rifampicins, intentional self-harm, sequela",58,58,,Yes,Yes,No
T367X2A,"Poisoning by antifungal antibiotics, systemically used, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T367X2S,"Poisoning by antifungal antibiotics, systemically used, intentional self-harm, sequela",58,58,,Yes,Yes,No
T368X2A,"Poisoning by other systemic antibiotics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T368X2S,"Poisoning by other systemic antibiotics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T3692XA,"Poisoning by unspecified systemic antibiotic, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T3692XS,"Poisoning by unspecified systemic antibiotic, intentional self-harm, sequela",58,58,,Yes,Yes,No
T370X2A,"Poisoning by sulfonamides, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T370X2S,"Poisoning by sulfonamides, intentional self-harm, sequela",58,58,,Yes,Yes,No
T371X2A,"Poisoning by antimycobacterial drugs, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T371X2S,"Poisoning by antimycobacterial drugs, intentional self-harm, sequela",58,58,,Yes,Yes,No
T372X2A,"Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T372X2S,"Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, sequela",58,58,,Yes,Yes,No
T373X2A,"Poisoning by other antiprotozoal drugs, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T373X2S,"Poisoning by other antiprotozoal drugs, intentional self-harm, sequela",58,58,,Yes,Yes,No
T374X2A,"Poisoning by anthelminthics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T374X2S,"Poisoning by anthelminthics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T375X2A,"Poisoning by antiviral drugs, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T375X2S,"Poisoning by antiviral drugs, intentional self-harm, sequela",58,58,,Yes,Yes,No
T378X2A,"Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T378X2S,"Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T3792XA,"Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T3792XS,"Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T380X2A,"Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T380X2S,"Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, sequela",58,58,,Yes,Yes,No
T381X2A,"Poisoning by thyroid hormones and substitutes, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T381X2S,"Poisoning by thyroid hormones and substitutes, intentional self-harm, sequela",58,58,,Yes,Yes,No
T382X2A,"Poisoning by antithyroid drugs, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T382X2S,"Poisoning by antithyroid drugs, intentional self-harm, sequela",58,58,,Yes,Yes,No
T383X2A,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T383X2S,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, sequela",58,58,,Yes,Yes,No
T384X2A,"Poisoning by oral contraceptives, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T384X2S,"Poisoning by oral contraceptives, intentional self-harm, sequela",58,58,,Yes,Yes,No
T385X2A,"Poisoning by other estrogens and progestogens, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T385X2S,"Poisoning by other estrogens and progestogens, intentional self-harm, sequela",58,58,,Yes,Yes,No
T386X2A,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T386X2S,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, sequela",58,58,,Yes,Yes,No
T387X2A,"Poisoning by androgens and anabolic congeners, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T387X2S,"Poisoning by androgens and anabolic congeners, intentional self-harm, sequela",58,58,,Yes,Yes,No
T38802A,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T38802S,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, sequela",58,58,,Yes,Yes,No
T38812A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T38812S,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, sequela",58,58,,Yes,Yes,No
T38892A,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T38892S,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, sequela",58,58,,Yes,Yes,No
T38902A,"Poisoning by unspecified hormone antagonists, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T38902S,"Poisoning by unspecified hormone antagonists, intentional self-harm, sequela",58,58,,Yes,Yes,No
T38992A,"Poisoning by other hormone antagonists, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T38992S,"Poisoning by other hormone antagonists, intentional self-harm, sequela",58,58,,Yes,Yes,No
T39012A,"Poisoning by aspirin, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T39012S,"Poisoning by aspirin, intentional self-harm, sequela",58,58,,Yes,Yes,No
T39092A,"Poisoning by salicylates, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T39092S,"Poisoning by salicylates, intentional self-harm, sequela",58,58,,Yes,Yes,No
T391X2A,"Poisoning by 4-Aminophenol derivatives, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T391X2S,"Poisoning by 4-Aminophenol derivatives, intentional self-harm, sequela",58,58,,Yes,Yes,No
T392X2A,"Poisoning by pyrazolone derivatives, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T392X2S,"Poisoning by pyrazolone derivatives, intentional self-harm, sequela",58,58,,Yes,Yes,No
T39312A,"Poisoning by propionic acid derivatives, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T39312S,"Poisoning by propionic acid derivatives, intentional self-harm, sequela",58,58,,Yes,Yes,No
T39392A,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T39392S,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, sequela",58,58,,Yes,Yes,No
T394X2A,"Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T394X2S,"Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, sequela",58,58,,Yes,Yes,No
T398X2A,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T398X2S,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, sequela",58,58,,Yes,Yes,No
T3992XA,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T3992XS,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, sequela",58,58,,Yes,Yes,No
T400X2A,"Poisoning by opium, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T400X2S,"Poisoning by opium, intentional self-harm, sequela",58,58,,Yes,Yes,No
T401X2A,"Poisoning by heroin, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T401X2S,"Poisoning by heroin, intentional self-harm, sequela",58,58,,Yes,Yes,No
T402X2A,"Poisoning by other opioids, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T402X2S,"Poisoning by other opioids, intentional self-harm, sequela",58,58,,Yes,Yes,No
T403X2A,"Poisoning by methadone, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T403X2S,"Poisoning by methadone, intentional self-harm, sequela",58,58,,Yes,Yes,No
T404X2A,"Poisoning by other synthetic narcotics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T404X2S,"Poisoning by other synthetic narcotics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T405X2A,"Poisoning by cocaine, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T405X2S,"Poisoning by cocaine, intentional self-harm, sequela",58,58,,Yes,Yes,No
T40602A,"Poisoning by unspecified narcotics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T40602S,"Poisoning by unspecified narcotics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T40692A,"Poisoning by other narcotics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T40692S,"Poisoning by other narcotics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T407X2A,"Poisoning by cannabis (derivatives), intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T407X2S,"Poisoning by cannabis (derivatives), intentional self-harm, sequela",58,58,,Yes,Yes,No
T408X2A,"Poisoning by lysergide [LSD], intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T408X2S,"Poisoning by lysergide [LSD], intentional self-harm, sequela",58,58,,Yes,Yes,No
T40902A,"Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T40902S,"Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, sequela",58,58,,Yes,Yes,No
T40992A,"Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T40992S,"Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, sequela",58,58,,Yes,Yes,No
T410X2A,"Poisoning by inhaled anesthetics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T410X2S,"Poisoning by inhaled anesthetics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T411X2A,"Poisoning by intravenous anesthetics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T411X2S,"Poisoning by intravenous anesthetics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T41202A,"Poisoning by unspecified general anesthetics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T41202S,"Poisoning by unspecified general anesthetics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T41292A,"Poisoning by other general anesthetics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T41292S,"Poisoning by other general anesthetics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T413X2A,"Poisoning by local anesthetics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T413X2S,"Poisoning by local anesthetics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T4142XA,"Poisoning by unspecified anesthetic, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T4142XS,"Poisoning by unspecified anesthetic, intentional self-harm, sequela",58,58,,Yes,Yes,No
T415X2A,"Poisoning by therapeutic gases, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T415X2S,"Poisoning by therapeutic gases, intentional self-harm, sequela",58,58,,Yes,Yes,No
T420X2A,"Poisoning by hydantoin derivatives, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T420X2S,"Poisoning by hydantoin derivatives, intentional self-harm, sequela",58,58,,Yes,Yes,No
T421X2A,"Poisoning by iminostilbenes, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T421X2S,"Poisoning by iminostilbenes, intentional self-harm, sequela",58,58,,Yes,Yes,No
T422X2A,"Poisoning by succinimides and oxazolidinediones, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T422X2S,"Poisoning by succinimides and oxazolidinediones, intentional self-harm, sequela",58,58,,Yes,Yes,No
T423X2A,"Poisoning by barbiturates, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T423X2S,"Poisoning by barbiturates, intentional self-harm, sequela",58,58,,Yes,Yes,No
T424X2A,"Poisoning by benzodiazepines, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T424X2S,"Poisoning by benzodiazepines, intentional self-harm, sequela",58,58,,Yes,Yes,No
T425X2A,"Poisoning by mixed antiepileptics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T425X2S,"Poisoning by mixed antiepileptics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T426X2A,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T426X2S,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, sequela",58,58,,Yes,Yes,No
T4272XA,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T4272XS,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, sequela",58,58,,Yes,Yes,No
T428X2A,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T428X2S,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43012A,"Poisoning by tricyclic antidepressants, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T43012S,"Poisoning by tricyclic antidepressants, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43022A,"Poisoning by tetracyclic antidepressants, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T43022S,"Poisoning by tetracyclic antidepressants, intentional self-harm, sequela",58,58,,Yes,Yes,No
T431X2A,"Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T431X2S,"Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43202A,"Poisoning by unspecified antidepressants, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T43202S,"Poisoning by unspecified antidepressants, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43212A,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T43212S,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43222A,"Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T43222S,"Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43292A,"Poisoning by other antidepressants, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T43292S,"Poisoning by other antidepressants, intentional self-harm, sequela",58,58,,Yes,Yes,No
T433X2A,"Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T433X2S,"Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T434X2A,"Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T434X2S,"Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43502A,"Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T43502S,"Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43592A,"Poisoning by other antipsychotics and neuroleptics, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T43592S,"Poisoning by other antipsychotics and neuroleptics, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43602A,"Poisoning by unspecified psychostimulants, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T43602S,"Poisoning by unspecified psychostimulants, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43612A,"Poisoning by caffeine, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T43612S,"Poisoning by caffeine, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43622A,"Poisoning by amphetamines, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
T43622S,"Poisoning by amphetamines, intentional self-harm, sequela",58,58,,Yes,Yes,No
T43632A,"Poisoning by methylphenidate, intentional self-harm, initial encounter",58,58,,Yes,Yes,No
